Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17285][2019 USDM WRX MT COBB Custom Features][Reflash: Stage1+BigSF 91 v302.ptm - Realtime: Stage1+BigSF 91 v302.ptm]
0.000,0.98,14.40,14.36,1.000,0.00,0.00,1692,1712,3,111,42.65,0.52,204,245.26,6.26,0.060,-0.78,2.34,14.56,36.1,14.07,187,9.00,4.43,95,2.34,2593,29.4,16.08,0
0.043,1.07,14.40,14.36,1.000,0.00,0.00,1707,1765,3,111,46.86,1.19,204,262.88,7.42,0.305,-0.78,2.34,14.42,41.2,14.07,187,9.00,4.43,95,2.56,2594,41.2,24.31,0
0.104,1.12,14.60,14.59,1.000,0.00,0.00,1698,1818,3,111,49.90,1.99,204,270.75,6.83,0.785,-2.34,2.34,13.89,45.5,14.07,187,12.00,5.00,95,2.44,2630,45.5,25.88,0
0.159,1.15,14.59,14.59,1.000,0.00,0.00,1736,1818,3,111,51.32,2.67,204,272.30,7.02,0.845,-3.12,2.34,14.30,46.3,14.07,187,11.50,5.07,93,2.40,2643,50.2,27.84,0
0.247,1.20,14.59,14.59,1.000,0.00,0.00,1784,1818,3,111,53.51,3.14,204,272.89,6.71,0.925,-0.78,2.34,15.13,46.7,14.07,187,11.50,5.62,93,2.46,2635,50.6,27.84,0
0.302,1.23,14.59,14.59,1.000,0.00,0.00,1771,1818,3,111,55.38,3.03,204,274.95,6.68,0.985,0.78,2.34,15.48,47.8,14.07,187,11.00,5.65,93,2.64,2669,50.6,28.24,0
0.422,1.28,14.59,14.59,1.000,0.00,0.00,1793,1871,3,109,58.63,3.80,204,275.26,5.96,1.000,3.12,2.34,15.47,47.8,14.07,187,10.50,5.72,93,2.66,2681,50.2,28.24,0
0.476,1.32,14.55,14.53,1.000,0.00,0.00,1827,1871,3,109,59.39,3.73,204,279.27,6.31,1.000,3.91,2.34,15.36,50.2,14.07,187,10.00,6.35,93,2.68,2705,50.2,29.41,0
0.542,1.34,14.51,14.47,1.000,0.00,0.00,1942,1871,3,109,61.70,4.56,204,280.00,5.56,1.000,3.12,2.34,15.16,50.6,14.07,187,9.50,6.39,93,2.64,2728,49.8,29.41,0
0.599,1.40,14.42,14.42,1.000,0.00,0.00,1909,1871,3,109,64.38,4.77,204,280.80,5.56,1.000,3.91,2.34,15.18,51.0,14.07,187,8.50,6.41,93,2.80,2735,49.4,29.41,0
0.681,1.44,14.30,14.25,1.000,0.00,0.00,1997,1871,3,108,66.14,5.09,204,284.34,5.48,1.000,3.91,2.34,14.92,52.9,14.07,187,7.00,7.07,93,2.74,2763,49.0,30.20,0
0.736,1.45,14.23,14.20,1.000,0.00,0.00,1904,1871,3,108,67.62,5.61,205,284.43,5.35,1.000,4.69,2.34,14.80,52.9,14.07,187,7.00,7.10,93,2.76,2774,48.2,30.20,0
0.799,1.51,13.87,13.84,1.000,0.00,0.00,1952,1871,3,108,70.63,5.80,205,287.00,5.24,1.000,6.25,2.34,14.71,54.5,14.07,187,5.50,7.74,93,2.80,2793,47.5,30.59,0
0.871,1.55,13.80,13.78,1.000,0.00,0.00,1974,1871,3,108,74.28,6.31,205,288.68,5.19,1.000,6.25,2.34,14.27,55.7,14.07,187,5.00,8.45,93,2.88,2828,50.2,31.37,0
